Commodity,Date,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),1/5/2021,Kg,50.0,60.0,55.0
Tomato Big(Indian),1/5/2021,Kg,50.0,60.0,55.0
Tomato Small(Local),1/5/2021,Kg,30.0,35.0,32.5
Tomato Small(Tunnel),1/5/2021,Kg,30.0,35.0,32.5
Tomato Small(Indian),1/5/2021,KG,40.0,45.0,42.5
Tomato Small(Terai),1/5/2021,KG,40.0,45.0,42.5
Potato Red,1/5/2021,Kg,40.0,45.0,42.5
Potato Red(Indian),1/5/2021,KG,30.0,35.0,32.5
Potato White,1/5/2021,Kg,28.0,30.0,29.0
Onion Dry (Indian),1/5/2021,Kg,60.0,65.0,62.5
Carrot(Local),1/5/2021,Kg,110.0,120.0,115.0
Carrot(Terai),1/5/2021,Kg,70.0,80.0,75.0
Cabbage(Local),1/5/2021,Kg,25.0,30.0,27.5
Cabbage(Terai),1/5/2021,Kg,18.0,25.0,21.5
Cabbage,1/5/2021,Kg,25.0,30.0,27.5
Cauli Local,1/5/2021,Kg,25.0,35.0,30.0
Cauli Local(Jyapu),1/5/2021,Kg,40.0,50.0,45.0
Cauli Terai,1/5/2021,Kg,20.0,25.0,22.5
Raddish Red,1/5/2021,Kg,35.0,40.0,37.5
Raddish White(Local),1/5/2021,Kg,10.0,15.0,12.5
Raddish White(Hybrid),1/5/2021,Kg,15.0,20.0,17.5
Brinjal Long,1/5/2021,Kg,45.0,50.0,47.5
Brinjal Round,1/5/2021,Kg,45.0,50.0,47.5
Green Peas,1/5/2021,Kg,50.0,60.0,55.0
French Bean(Local),1/5/2021,Kg,50.0,60.0,55.0
French Bean(Hybrid),1/5/2021,Kg,60.0,70.0,65.0
Sword Bean,1/5/2021,Kg,50.0,55.0,52.5
Bitter Gourd,1/5/2021,Kg,100.0,110.0,105.0
Bottle Gourd,1/5/2021,Kg,35.0,40.0,37.5
Pumpkin,1/5/2021,Kg,20.0,25.0,22.5
Squash(Long),1/5/2021,Kg,25.0,30.0,27.5
Squash(Round),1/5/2021,Kg,45.0,50.0,47.5
Turnip,1/5/2021,Kg,70.0,80.0,75.0
Okara,1/5/2021,Kg,70.0,80.0,75.0
Sweet Potato,1/5/2021,Kg,70.0,80.0,75.0
Barela,1/5/2021,Kg,50.0,60.0,55.0
Arum,1/5/2021,Kg,50.0,60.0,55.0
Christophine,1/5/2021,Kg,15.0,20.0,17.5
Brd Leaf Mustard,1/5/2021,Kg,50.0,60.0,55.0
Spinach Leaf,1/5/2021,Kg,70.0,80.0,75.0
Cress Leaf,1/5/2021,Kg,80.0,90.0,85.0
Mustard Leaf,1/5/2021,Kg,50.0,60.0,55.0
Fenugreek Leaf,1/5/2021,Kg,70.0,80.0,75.0
Onion Green,1/5/2021,Kg,50.0,60.0,55.0
Bakula,1/5/2021,Kg,110.0,120.0,115.0
Yam,1/5/2021,Kg,50.0,60.0,55.0
Mushroom(Kanya),1/5/2021,Kg,150.0,160.0,155.0
Mushroom(Button),1/5/2021,KG,250.0,280.0,265.0
Brocauli,1/5/2021,Kg,40.0,50.0,45.0
Sugarbeet,1/5/2021,Kg,90.0,100.0,95.0
Red Cabbbage,1/5/2021,Kg,150.0,200.0,175.0
Lettuce,1/5/2021,Kg,50.0,60.0,55.0
Knolkhol,1/5/2021,Kg,40.0,50.0,45.0
Celery,1/5/2021,Kg,220.0,250.0,235.0
Parseley,1/5/2021,Kg,350.0,400.0,375.0
Fennel Leaf,1/5/2021,Kg,90.0,100.0,95.0
Mint,1/5/2021,Kg,220.0,250.0,235.0
Turnip A,1/5/2021,Kg,70.0,80.0,75.0
Tamarind,1/5/2021,Kg,140.0,150.0,145.0
Bamboo Shoot,1/5/2021,Kg,70.0,80.0,75.0
Tofu,1/5/2021,Kg,70.0,80.0,75.0
Gundruk,1/5/2021,Kg,220.0,250.0,235.0
Apple(Jholey),1/5/2021,Kg,220.0,230.0,225.0
Apple(Fuji),1/5/2021,KG,280.0,290.0,285.0
Banana,1/5/2021,Doz,90.0,100.0,95.0
Lime,1/5/2021,Kg,110.0,120.0,115.0
Pomegranate,1/5/2021,Kg,250.0,300.0,275.0
Grapes(Green),1/5/2021,Kg,240.0,250.0,245.0
Grapes(Black),1/5/2021,Kg,340.0,350.0,345.0
Orange(Nepali),1/5/2021,Kg,90.0,100.0,95.0
Orange(Indian),1/5/2021,Kg,70.0,80.0,75.0
Water Melon(Green),1/5/2021,Kg,50.0,60.0,55.0
Sweet Orange,1/5/2021,Kg,150.0,160.0,155.0
Pineapple,1/5/2021,1 Pc,150.0,160.0,155.0
Cucumber(Local),1/5/2021,Kg,80.0,90.0,85.0
Cucumber(Hybrid),1/5/2021,KG,40.0,50.0,45.0
Pear(Chinese),1/5/2021,Kg,260.0,270.0,265.0
Papaya(Indian),1/5/2021,Kg,90.0,100.0,95.0
Guava,1/5/2021,Kg,90.0,100.0,95.0
Mombin,1/5/2021,Kg,30.0,40.0,35.0
Kinnow,1/5/2021,Kg,70.0,80.0,75.0
Strawberry,1/5/2021,Kg,500.0,550.0,525.0
Kiwi,1/5/2021,Kg,220.0,250.0,235.0
Ginger,1/5/2021,Kg,50.0,60.0,55.0
Chilli Dry,1/5/2021,Kg,320.0,330.0,325.0
Chilli Green,1/5/2021,Kg,80.0,90.0,85.0
Chilli Green(Bullet),1/5/2021,KG,90.0,100.0,95.0
Chilli Green(Machhe),1/5/2021,KG,90.0,100.0,95.0
Capsicum,1/5/2021,Kg,70.0,80.0,75.0
Garlic Green,1/5/2021,Kg,120.0,130.0,125.0
Coriander Green,1/5/2021,Kg,100.0,120.0,110.0
Garlic Dry Chinese,1/5/2021,Kg,200.0,210.0,205.0
Fish Fresh(Rahu),1/5/2021,KG,270.0,280.0,275.0
Fish Fresh(Bachuwa),1/5/2021,KG,200.0,210.0,205.0
Fish Fresh(Chhadi),1/5/2021,KG,200.0,210.0,205.0
Fish Fresh(Mungari),1/5/2021,KG,270.0,280.0,275.0
Tomato Big(Nepali),1/6/2021,Kg,50.0,60.0,55.0
Tomato Big(Indian),1/6/2021,Kg,50.0,60.0,55.0
Tomato Small(Local),1/6/2021,Kg,35.0,45.0,40.0
Tomato Small(Tunnel),1/6/2021,Kg,35.0,45.0,40.0
Tomato Small(Indian),1/6/2021,KG,40.0,50.0,45.0
Tomato Small(Terai),1/6/2021,KG,40.0,50.0,45.0
Potato Red,1/6/2021,Kg,38.0,42.0,40.0
Potato Red(Indian),1/6/2021,KG,30.0,35.0,32.5
Potato White,1/6/2021,Kg,28.0,30.0,29.0
Onion Dry (Indian),1/6/2021,Kg,60.0,65.0,62.5
Carrot(Local),1/6/2021,Kg,110.0,120.0,115.0
Carrot(Terai),1/6/2021,Kg,70.0,80.0,75.0
Cabbage(Local),1/6/2021,Kg,25.0,30.0,27.5
Cabbage(Terai),1/6/2021,Kg,20.0,25.0,22.5
Cabbage,1/6/2021,Kg,30.0,35.0,32.5
Cauli Local,1/6/2021,Kg,25.0,35.0,30.0
Cauli Local(Jyapu),1/6/2021,Kg,40.0,45.0,42.5
Cauli Terai,1/6/2021,Kg,20.0,25.0,22.5
Raddish Red,1/6/2021,Kg,35.0,40.0,37.5
Raddish White(Local),1/6/2021,Kg,10.0,15.0,12.5
Raddish White(Hybrid),1/6/2021,Kg,15.0,20.0,17.5
Brinjal Long,1/6/2021,Kg,35.0,40.0,37.5
Brinjal Round,1/6/2021,Kg,35.0,40.0,37.5
Green Peas,1/6/2021,Kg,45.0,50.0,47.5
French Bean(Local),1/6/2021,Kg,40.0,50.0,45.0
French Bean(Hybrid),1/6/2021,Kg,50.0,60.0,55.0
Sword Bean,1/6/2021,Kg,35.0,40.0,37.5
Bitter Gourd,1/6/2021,Kg,100.0,110.0,105.0
Bottle Gourd,1/6/2021,Kg,30.0,40.0,35.0
Pumpkin,1/6/2021,Kg,25.0,30.0,27.5
Squash(Long),1/6/2021,Kg,25.0,30.0,27.5
Squash(Round),1/6/2021,Kg,45.0,50.0,47.5
Turnip,1/6/2021,Kg,70.0,80.0,75.0
Okara,1/6/2021,Kg,70.0,80.0,75.0
Sweet Potato,1/6/2021,Kg,70.0,80.0,75.0
Barela,1/6/2021,Kg,50.0,60.0,55.0
Arum,1/6/2021,Kg,50.0,60.0,55.0
Christophine,1/6/2021,Kg,15.0,20.0,17.5
Brd Leaf Mustard,1/6/2021,Kg,40.0,50.0,45.0
Spinach Leaf,1/6/2021,Kg,70.0,80.0,75.0
Cress Leaf,1/6/2021,Kg,90.0,100.0,95.0
Mustard Leaf,1/6/2021,Kg,50.0,60.0,55.0
Fenugreek Leaf,1/6/2021,Kg,70.0,80.0,75.0
Onion Green,1/6/2021,Kg,50.0,60.0,55.0
Bakula,1/6/2021,Kg,100.0,110.0,105.0
Yam,1/6/2021,Kg,50.0,60.0,55.0
Mushroom(Kanya),1/6/2021,Kg,120.0,150.0,135.0
Mushroom(Button),1/6/2021,KG,250.0,280.0,265.0
Brocauli,1/6/2021,Kg,35.0,40.0,37.5
Sugarbeet,1/6/2021,Kg,70.0,80.0,75.0
Red Cabbbage,1/6/2021,Kg,150.0,170.0,160.0
Lettuce,1/6/2021,Kg,50.0,60.0,55.0
Knolkhol,1/6/2021,Kg,50.0,60.0,55.0
Celery,1/6/2021,Kg,220.0,250.0,235.0
Parseley,1/6/2021,Kg,380.0,400.0,390.0
Fennel Leaf,1/6/2021,Kg,80.0,90.0,85.0
Mint,1/6/2021,Kg,220.0,250.0,235.0
Turnip A,1/6/2021,Kg,70.0,80.0,75.0
Tamarind,1/6/2021,Kg,140.0,150.0,145.0
Bamboo Shoot,1/6/2021,Kg,70.0,80.0,75.0
Tofu,1/6/2021,Kg,70.0,80.0,75.0
Gundruk,1/6/2021,Kg,220.0,230.0,225.0
Apple(Jholey),1/6/2021,Kg,190.0,200.0,195.0
Apple(Fuji),1/6/2021,KG,290.0,300.0,295.0
Banana,1/6/2021,Doz,90.0,100.0,95.0
Lime,1/6/2021,Kg,100.0,110.0,105.0
Pomegranate,1/6/2021,Kg,280.0,300.0,290.0
Grapes(Green),1/6/2021,Kg,200.0,220.0,210.0
Grapes(Black),1/6/2021,Kg,350.0,360.0,355.0
Orange(Nepali),1/6/2021,Kg,90.0,100.0,95.0
Orange(Indian),1/6/2021,Kg,70.0,80.0,75.0
Water Melon(Green),1/6/2021,Kg,40.0,50.0,45.0
Sweet Orange,1/6/2021,Kg,150.0,160.0,155.0
Pineapple,1/6/2021,1 Pc,120.0,130.0,125.0
Cucumber(Local),1/6/2021,Kg,80.0,90.0,85.0
Cucumber(Hybrid),1/6/2021,KG,40.0,50.0,45.0
Pear(Chinese),1/6/2021,Kg,250.0,260.0,255.0
Papaya(Indian),1/6/2021,Kg,90.0,100.0,95.0
Guava,1/6/2021,Kg,100.0,110.0,105.0
Mombin,1/6/2021,Kg,30.0,40.0,35.0
Kinnow,1/6/2021,Kg,70.0,80.0,75.0
Strawberry,1/6/2021,Kg,500.0,550.0,525.0
Kiwi,1/6/2021,Kg,220.0,250.0,235.0
Ginger,1/6/2021,Kg,50.0,60.0,55.0
Chilli Dry,1/6/2021,Kg,320.0,330.0,325.0
Chilli Green,1/6/2021,Kg,80.0,90.0,85.0
Chilli Green(Bullet),1/6/2021,KG,90.0,100.0,95.0
Chilli Green(Machhe),1/6/2021,KG,70.0,80.0,75.0
Chilli Green(Akbare),1/6/2021,KG,350.0,380.0,365.0
Capsicum,1/6/2021,Kg,60.0,70.0,65.0
Garlic Green,1/6/2021,Kg,130.0,140.0,135.0
Coriander Green,1/6/2021,Kg,90.0,100.0,95.0
Garlic Dry Chinese,1/6/2021,Kg,190.0,200.0,195.0
Fish Fresh(Rahu),1/6/2021,KG,270.0,280.0,275.0
Fish Fresh(Bachuwa),1/6/2021,KG,200.0,210.0,205.0
Fish Fresh(Chhadi),1/6/2021,KG,200.0,210.0,205.0
Fish Fresh(Mungari),1/6/2021,KG,260.0,270.0,265.0
Tomato Big(Nepali),1/7/2021,Kg,45.0,50.0,47.5
Tomato Big(Indian),1/7/2021,Kg,45.0,50.0,47.5
Tomato Small(Local),1/7/2021,Kg,30.0,40.0,35.0
Tomato Small(Tunnel),1/7/2021,Kg,30.0,40.0,35.0
Tomato Small(Indian),1/7/2021,KG,35.0,40.0,37.5
Tomato Small(Terai),1/7/2021,KG,35.0,40.0,37.5
Potato Red,1/7/2021,Kg,40.0,45.0,42.5
Potato Red(Indian),1/7/2021,KG,30.0,35.0,32.5
Potato White,1/7/2021,Kg,28.0,30.0,29.0
Onion Dry (Indian),1/7/2021,Kg,65.0,70.0,67.5
Carrot(Local),1/7/2021,Kg,110.0,120.0,115.0
Carrot(Terai),1/7/2021,Kg,70.0,80.0,75.0
Cabbage(Local),1/7/2021,Kg,25.0,30.0,27.5
Cabbage(Terai),1/7/2021,Kg,20.0,25.0,22.5
Cabbage,1/7/2021,Kg,30.0,35.0,32.5
Cauli Local,1/7/2021,Kg,22.0,28.0,25.0
Cauli Local(Jyapu),1/7/2021,Kg,35.0,40.0,37.5
Cauli Terai,1/7/2021,Kg,18.0,22.0,20.0
Raddish Red,1/7/2021,Kg,30.0,40.0,35.0
Raddish White(Local),1/7/2021,Kg,10.0,15.0,12.5
Raddish White(Hybrid),1/7/2021,Kg,15.0,20.0,17.5
Brinjal Long,1/7/2021,Kg,50.0,55.0,52.5
Brinjal Round,1/7/2021,Kg,55.0,60.0,57.5
Green Peas,1/7/2021,Kg,40.0,50.0,45.0
French Bean(Local),1/7/2021,Kg,40.0,50.0,45.0
Sword Bean,1/7/2021,Kg,35.0,40.0,37.5
Bitter Gourd,1/7/2021,Kg,100.0,120.0,110.0
Bottle Gourd,1/7/2021,Kg,45.0,50.0,47.5
Pumpkin,1/7/2021,Kg,25.0,30.0,27.5
Squash(Long),1/7/2021,Kg,25.0,30.0,27.5
Squash(Round),1/7/2021,Kg,40.0,50.0,45.0
Turnip,1/7/2021,Kg,70.0,80.0,75.0
Okara,1/7/2021,Kg,70.0,80.0,75.0
Sweet Potato,1/7/2021,Kg,50.0,60.0,55.0
Barela,1/7/2021,Kg,50.0,60.0,55.0
Arum,1/7/2021,Kg,50.0,60.0,55.0
Christophine,1/7/2021,Kg,15.0,20.0,17.5
Brd Leaf Mustard,1/7/2021,Kg,40.0,50.0,45.0
Spinach Leaf,1/7/2021,Kg,70.0,80.0,75.0
Cress Leaf,1/7/2021,Kg,90.0,100.0,95.0
Mustard Leaf,1/7/2021,Kg,50.0,60.0,55.0
Fenugreek Leaf,1/7/2021,Kg,70.0,80.0,75.0
Onion Green,1/7/2021,Kg,40.0,50.0,45.0
Bakula,1/7/2021,Kg,100.0,110.0,105.0
Yam,1/7/2021,Kg,50.0,60.0,55.0
Mushroom(Kanya),1/7/2021,Kg,100.0,120.0,110.0
Mushroom(Button),1/7/2021,KG,240.0,260.0,250.0
Brocauli,1/7/2021,Kg,40.0,50.0,45.0
Sugarbeet,1/7/2021,Kg,80.0,90.0,85.0
Red Cabbbage,1/7/2021,Kg,150.0,200.0,175.0
Lettuce,1/7/2021,Kg,50.0,60.0,55.0
Knolkhol,1/7/2021,Kg,50.0,60.0,55.0
Celery,1/7/2021,Kg,220.0,250.0,235.0
Parseley,1/7/2021,Kg,380.0,400.0,390.0
Fennel Leaf,1/7/2021,Kg,90.0,100.0,95.0
Mint,1/7/2021,Kg,220.0,250.0,235.0
Turnip A,1/7/2021,Kg,70.0,80.0,75.0
Tamarind,1/7/2021,Kg,140.0,150.0,145.0
Bamboo Shoot,1/7/2021,Kg,70.0,80.0,75.0
Tofu,1/7/2021,Kg,70.0,80.0,75.0
Gundruk,1/7/2021,Kg,220.0,250.0,235.0
Apple(Jholey),1/7/2021,Kg,190.0,200.0,195.0
Apple(Fuji),1/7/2021,KG,290.0,300.0,295.0
Banana,1/7/2021,Doz,90.0,100.0,95.0
Lime,1/7/2021,Kg,100.0,120.0,110.0
Pomegranate,1/7/2021,Kg,280.0,300.0,290.0
Grapes(Green),1/7/2021,Kg,200.0,220.0,210.0
Grapes(Black),1/7/2021,Kg,350.0,360.0,355.0
Orange(Nepali),1/7/2021,Kg,90.0,100.0,95.0
Water Melon(Green),1/7/2021,Kg,40.0,50.0,45.0
Sweet Orange,1/7/2021,Kg,150.0,160.0,155.0
Pineapple,1/7/2021,1 Pc,120.0,130.0,125.0
Cucumber(Local),1/7/2021,Kg,80.0,90.0,85.0
Cucumber(Hybrid),1/7/2021,KG,40.0,50.0,45.0
Pear(Chinese),1/7/2021,Kg,250.0,260.0,255.0
Papaya(Nepali),1/7/2021,Kg,90.0,100.0,95.0
Guava,1/7/2021,Kg,90.0,100.0,95.0
Mombin,1/7/2021,Kg,30.0,40.0,35.0
Kinnow,1/7/2021,Kg,70.0,80.0,75.0
Strawberry,1/7/2021,Kg,500.0,550.0,525.0
Kiwi,1/7/2021,Kg,220.0,250.0,235.0
Ginger,1/7/2021,Kg,50.0,60.0,55.0
Chilli Dry,1/7/2021,Kg,320.0,330.0,325.0
Chilli Green,1/7/2021,Kg,80.0,90.0,85.0
Chilli Green(Bullet),1/7/2021,KG,70.0,80.0,75.0
Chilli Green(Machhe),1/7/2021,KG,70.0,80.0,75.0
Chilli Green(Akbare),1/7/2021,KG,350.0,400.0,375.0
Capsicum,1/7/2021,Kg,60.0,70.0,65.0
Garlic Green,1/7/2021,Kg,140.0,150.0,145.0
Coriander Green,1/7/2021,Kg,50.0,70.0,60.0
Garlic Dry Chinese,1/7/2021,Kg,190.0,200.0,195.0
Fish Fresh(Rahu),1/7/2021,KG,270.0,280.0,275.0
Fish Fresh(Bachuwa),1/7/2021,KG,200.0,210.0,205.0
Fish Fresh(Chhadi),1/7/2021,KG,200.0,210.0,205.0
Tomato Big(Nepali),1/8/2021,Kg,50.0,55.0,52.5
Tomato Big(Indian),1/8/2021,Kg,50.0,55.0,52.5
Tomato Small(Local),1/8/2021,Kg,25.0,35.0,30.0
Tomato Small(Tunnel),1/8/2021,Kg,25.0,35.0,30.0
Tomato Small(Indian),1/8/2021,KG,30.0,35.0,32.5
Tomato Small(Terai),1/8/2021,KG,30.0,35.0,32.5
Potato Red,1/8/2021,Kg,40.0,45.0,42.5
Potato Red(Indian),1/8/2021,KG,30.0,35.0,32.5
Potato White,1/8/2021,Kg,28.0,30.0,29.0
Onion Dry (Indian),1/8/2021,Kg,70.0,75.0,72.5
Carrot(Local),1/8/2021,Kg,100.0,110.0,105.0
Carrot(Terai),1/8/2021,Kg,70.0,80.0,75.0
Cabbage(Local),1/8/2021,Kg,20.0,30.0,25.0
Cabbage(Terai),1/8/2021,Kg,18.0,25.0,21.5
Cabbage,1/8/2021,Kg,25.0,30.0,27.5
Cauli Local,1/8/2021,Kg,20.0,30.0,25.0
Cauli Local(Jyapu),1/8/2021,Kg,35.0,40.0,37.5
Cauli Terai,1/8/2021,Kg,15.0,20.0,17.5
Raddish Red,1/8/2021,Kg,30.0,40.0,35.0
Raddish White(Local),1/8/2021,Kg,10.0,15.0,12.5
Raddish White(Hybrid),1/8/2021,Kg,15.0,20.0,17.5
Brinjal Long,1/8/2021,Kg,35.0,40.0,37.5
Brinjal Round,1/8/2021,Kg,35.0,40.0,37.5
Green Peas,1/8/2021,Kg,50.0,60.0,55.0
French Bean(Local),1/8/2021,Kg,50.0,60.0,55.0
French Bean(Hybrid),1/8/2021,Kg,60.0,70.0,65.0
Sword Bean,1/8/2021,Kg,35.0,40.0,37.5
Bitter Gourd,1/8/2021,Kg,100.0,110.0,105.0
Bottle Gourd,1/8/2021,Kg,35.0,40.0,37.5
Pumpkin,1/8/2021,Kg,25.0,30.0,27.5
Squash(Long),1/8/2021,Kg,25.0,30.0,27.5
Squash(Round),1/8/2021,Kg,45.0,50.0,47.5
Turnip,1/8/2021,Kg,70.0,80.0,75.0
Okara,1/8/2021,Kg,70.0,80.0,75.0
Sweet Potato,1/8/2021,Kg,50.0,60.0,55.0
Barela,1/8/2021,Kg,50.0,60.0,55.0
Arum,1/8/2021,Kg,40.0,50.0,45.0
Christophine,1/8/2021,Kg,15.0,20.0,17.5
Brd Leaf Mustard,1/8/2021,Kg,35.0,40.0,37.5
Spinach Leaf,1/8/2021,Kg,60.0,70.0,65.0
Cress Leaf,1/8/2021,Kg,90.0,100.0,95.0
Mustard Leaf,1/8/2021,Kg,50.0,60.0,55.0
Fenugreek Leaf,1/8/2021,Kg,70.0,80.0,75.0
Onion Green,1/8/2021,Kg,50.0,60.0,55.0
Bakula,1/8/2021,Kg,110.0,120.0,115.0
Yam,1/8/2021,Kg,50.0,60.0,55.0
Mushroom(Kanya),1/8/2021,Kg,100.0,120.0,110.0
Mushroom(Button),1/8/2021,KG,250.0,260.0,255.0
Brocauli,1/8/2021,Kg,30.0,40.0,35.0
Sugarbeet,1/8/2021,Kg,90.0,100.0,95.0
Red Cabbbage,1/8/2021,Kg,150.0,200.0,175.0
Lettuce,1/8/2021,Kg,50.0,60.0,55.0
Knolkhol,1/8/2021,Kg,50.0,60.0,55.0
Celery,1/8/2021,Kg,220.0,250.0,235.0
Parseley,1/8/2021,Kg,350.0,400.0,375.0
Fennel Leaf,1/8/2021,Kg,90.0,100.0,95.0
Mint,1/8/2021,Kg,220.0,250.0,235.0
Turnip A,1/8/2021,Kg,70.0,80.0,75.0
Tamarind,1/8/2021,Kg,140.0,150.0,145.0
Bamboo Shoot,1/8/2021,Kg,80.0,90.0,85.0
Tofu,1/8/2021,Kg,70.0,80.0,75.0
Gundruk,1/8/2021,Kg,220.0,250.0,235.0
Apple(Jholey),1/8/2021,Kg,190.0,200.0,195.0
Apple(Fuji),1/8/2021,KG,290.0,300.0,295.0
Banana,1/8/2021,Doz,90.0,100.0,95.0
Lime,1/8/2021,Kg,110.0,120.0,115.0
Pomegranate,1/8/2021,Kg,280.0,300.0,290.0
Grapes(Green),1/8/2021,Kg,200.0,220.0,210.0
Grapes(Black),1/8/2021,Kg,320.0,350.0,335.0
Orange(Nepali),1/8/2021,Kg,100.0,110.0,105.0
Water Melon(Green),1/8/2021,Kg,40.0,50.0,45.0
Sweet Orange,1/8/2021,Kg,150.0,160.0,155.0
Pineapple,1/8/2021,1 Pc,120.0,130.0,125.0
Cucumber(Local),1/8/2021,Kg,80.0,90.0,85.0
Cucumber(Hybrid),1/8/2021,KG,40.0,50.0,45.0
Pear(Chinese),1/8/2021,Kg,250.0,260.0,255.0
Papaya(Nepali),1/8/2021,Kg,90.0,100.0,95.0
Guava,1/8/2021,Kg,100.0,110.0,105.0
Mombin,1/8/2021,Kg,30.0,40.0,35.0
Kinnow,1/8/2021,Kg,70.0,80.0,75.0
Strawberry,1/8/2021,Kg,500.0,550.0,525.0
Kiwi,1/8/2021,Kg,220.0,250.0,235.0
Ginger,1/8/2021,Kg,50.0,60.0,55.0
